id;nome;codigo;status
1;Treinamento Inicial;TNBV-001;ativo
2;Treinamento Inicial de Instrutor;TNBV-002;ativo
3;Treinamento Inicial de Examinador;TNBV-003;ativo
4;Treinamento Periódico;TNBV-004;ativo
5;Treinamento Periódico de Instrutor;TNBV-005;ativo
6;Treinamento Periódico de Examinador;TNBV-006;ativo
7;Treinamento de Transição;TNBV-007;ativo
8;Treinamento de Transição Instrutor;TNBV-008;ativo
9;Treinamento de Transição Examinador;TNBV-009;ativo
10;Treinamento de Elevação de Nível;TNBV-010;ativo
11;Treinamento de Requalificação;TNBV-011;ativo
12;Treinamento de Diferenças;TNBV-012;ativo
